Justificativa,Justificativa_processada,Classificacao
cobrir ferias.,cobrir ferias.,
atendimento ao chamado do supervisor,atendimento ao chamado do supervisor,
participação no RMSA do mês,participacao no rmsa do mes,
Participação no RMSA de Comfiabilidade,participacao no rmsa de comfiabilidade,
"tempo de valor em aorendizado em saude,segurança.","tempo de valor em aorendizado em saude,seguranca.",
Fabricação da sucção da bba 2 bat 2,fabricacao da succao da bba 2 bat 2,
Posicionamento e Bloqueio do CG3 para Preventiva,posicionamento e bloqueio do cg3 para preventiva,
Posicionamento para bloqueio da MD3 para preventiva,posicionamento para bloqueio da md3 para preventiva,
posicionamento para bloqueio do guia 2,posicionamento para bloqueio do guia 2,
Posicionamento para bloqueio do CC4,posicionamento para bloqueio do cc4,
Posicionamento para bloqueio cc5,posicionamento para bloqueio cc5,
Posicionamento para bloqueio do CC6,posicionamento para bloqueio do cc6,
Atendimento a Prontidão manobra do carro trasferencia,atendimento a prontidao manobra do carro trasferencia,
Manobra da tampa da ponte 2,manobra da tampa da ponte 2,
Troca do Frame C4,troca do frame c4,
Soldar Nipe no coletor da bat 4 para trepanação,soldar nipe no coletor da bat 4 para trepanacao,
Trepanação BAT 4,trepanacao bat 4,
Finalização de Alinhamento do Truck 3 MD 3,finalizacao de alinhamento do truck 3 md 3,
Finalização de Troca de Truck Guia 1,finalizacao de troca de truck guia 1,
Reparo quimico na tubulaçao de condensado misto bat 1,reparo quimico na tubulacao de condensado misto bat 1,
Acompanhamento de performace de presão de n2 nas bat 2 e 3 apos troca de filtro,acompanhamento de performace de presao de n2 nas bat 2 e 3 apos troca de filtro,
Acompanhamento da BAT 4,acompanhamento da bat 4,
Acompanhamento na Area da bateria,acompanhamento na area da bateria,
"Atuação no Bleeder 1 da Bat 3, troca de cilindro","atuacao no bleeder 1 da bat 3, troca de cilindro",
Acompanhamento troca de tubo de n2 da bat 2,acompanhamento troca de tubo de n2 da bat 2,
Atendimentos a demandas da area,atendimentos a demandas da area,
Acompanhamento de servico na tubulação de n2 e chapas da reversão,acompanhamento de servico na tubulacao de n2 e chapas da reversao,
Acompanhamento das manobras para selar o gas bat 2,acompanhamento das manobras para selar o gas bat 2,
Finalização da troca da ponta da barra md1,finalizacao da troca da ponta da barra md1,
Troca do Cilindro de COG Bat 1,troca do cilindro de cog bat 1,
Serviço na Tubulação de Ant-Incendio,servico na tubulacao de ant-incendio,
Alinhamento do truck 4 md 2,alinhamento do truck 4 md 2,
Apoio ao planejamento,apoio ao planejamento,
Demandas da Area / Planejamento,demandas da area / planejamento,
Atendimento a Demandas do Planejamento,atendimento a demandas do planejamento,
Demandas do Planejamento,demandas do planejamento,
Demandas Do Planejamento,demandas do planejamento,
Organização do Patio / Alas,organizacao do patio / alas,
Atendiemento a Demandas da Area,atendiemento a demandas da area,
Acompanhamento serviços da area,acompanhamento servicos da area,
Demanda do planejamento,demanda do planejamento,
Planejamento Tubulao BT3,planejamento tubulao bt3,
Demandas do reparo na tubulação de mg,demandas do reparo na tubulacao de mg,
Atendimento prontidão ponte 02,atendimento prontidao ponte 02,
Organização Estoque Avançado,organizacao estoque avancado,
Acompanhamento troca do cilindro / demandas do planejamento,acompanhamento troca do cilindro / demandas do planejamento,
Levantamento de Material do patio anexo ao cdq (N13) para estoque avançado,levantamento de material do patio anexo ao cdq (n13) para estoque avancado,
Acompanhamento Seviço na chamine 1,acompanhamento sevico na chamine 1,
PGO Dos Bleeders Bateria 3,pgo dos bleeders bateria 3,
Acompanhamento serviço nos bleeders bateria 3,acompanhamento servico nos bleeders bateria 3,
Acompanhamento atividades na etm 2/3 e finalização de rotina no sistema,acompanhamento atividades na etm 2/3 e finalizacao de rotina no sistema,
Barramento das mds / solicitação de recursos para atividade de sabado,barramento das mds / solicitacao de recursos para atividade de sabado,
Atividade do Barramento / Preparação para Boca de carga 101,atividade do barramento / preparacao para boca de carga 101,
Atendimento Prontidão Boca de Carga 101,atendimento prontidao boca de carga 101,
Proteção do Barramento Bat 2,protecao do barramento bat 2,
Demandas do Planejamento Sobre inertização da linha de mg bat 3,demandas do planejamento sobre inertizacao da linha de mg bat 3,
Acompanhamento a montagem de andaime bateria 3,acompanhamento a montagem de andaime bateria 3,
Organização do Patio,organizacao do patio,
Demandas do planejamento,demandas do planejamento,
Planejamento da Atividade de Interligação de Licor Bat 3 com a 2,planejamento da atividade de interligacao de licor bat 3 com a 2,
Apoio ao Retorno das Baterias,apoio ao retorno das baterias,
Planejamento da Atividade de emegencias do dia 20/11,planejamento da atividade de emegencias do dia 20/11,
Reparo do Tubulão Bateria 3 LC,reparo do tubulao bateria 3 lc,
Inicio Serviço do Tubulão,inicio servico do tubulao,
Serviço no Tubulão,servico no tubulao,
Acompanhamento do serviço do tubulão,acompanhamento do servico do tubulao,
Demandas do planejamento linha de COG,demandas do planejamento linha de cog,
Demandas da Chamine 02,demandas da chamine 02,
Preventiva MD2.,preventiva md2.,
Atividades barramento das locomotivas.,atividades barramento das locomotivas.,
Atividades de planejamento.,atividades de planejamento.,
Acionamento de prontidão (falha inversor içamento da ponte 02),acionamento de prontidao (falha inversor icamento da ponte 02),
Acionamento de prontidão.,acionamento de prontidao.,
Apoio a ocorrência dos pantógrafos da Ponte 02.,apoio a ocorrencia dos pantografos da ponte 02.,
Acompanhamento da atividade de fixação do bandejamento (barramento das pontes CDQ).,acompanhamento da atividade de fixacao do bandejamento (barramento das pontes cdq).,
Atendimento ao CC5 e quebra de pantógrafo LOC1 (acionamento de prontidão),atendimento ao cc5 e quebra de pantografo loc1 (acionamento de prontidao),
Acompanhamento troca da LV4-5.,acompanhamento troca da lv4-5.,
Apoio a preventiva da ponte 01 e transferência.,apoio a preventiva da ponte 01 e transferencia.,
Planejamento de atividades.,planejamento de atividades.,
Atividade de planejamento CDQ.,atividade de planejamento cdq.,
Normalização da válvula QV5-3 a pedido da operação.,normalizacao da valvula qv5-3 a pedido da operacao.,
Planejamento atividades Ponte 1 (mudança de programação).,planejamento atividades ponte 1 (mudanca de programacao).,
Normalização do MF-201.,normalizacao do mf-201.,
Apoio a normalização dos encoders da Ponte 1 (CR-001).,apoio a normalizacao dos encoders da ponte 1 (cr-001).,
Organização estoque avançado.,organizacao estoque avancado.,
Demandas do estoque avançado.,demandas do estoque avancado.,
Apoio a atividade nos inversores Ponte 1.,apoio a atividade nos inversores ponte 1.,
"Apoio drives Ponte 1, planejamento atividade no trafo TC1.","apoio drives ponte 1, planejamento atividade no trafo tc1.",
Atividades referentes ao estoque avançado.,atividades referentes ao estoque avancado.,
Apoio para investigação e normalização da válvula/atuador da PV-2 da unidade QC-501.,apoio para investigacao e normalizacao da valvula/atuador da pv-2 da unidade qc-501.,
montagem nova rota do tilte,montagem nova rota do tilte,
troca da sirene bateria 1,troca da sirene bateria 1,
troca do posicionador do forno 142,troca do posicionador do forno 142,
Atendimento de prontidão,atendimento de prontidao,
normalização do transmissor de pressão f164,normalizacao do transmissor de pressao f164,
atendimento limpador guia 1,atendimento limpador guia 1,
Retirar falha de falha ponte oficina de portas,retirar falha de falha ponte oficina de portas,
Normalizar ponte da oficina de portas,normalizar ponte da oficina de portas,
Retirar eletrodudo da sala de descanço.,retirar eletrodudo da sala de descanco.,
Normalizar forno 148,normalizar forno 148,
Acionado no prontidão ICCT,acionado no prontidao icct,
Montar instrumentos do forno 159,montar instrumentos do forno 159,
Impedimento do GC03 preventiva do limpador,impedimento do gc03 preventiva do limpador,
Acionamento de prontidao ICCT,acionamento de prontidao icct,
Bloqueio do Guia de coque 3,bloqueio do guia de coque 3,
normalizar falha na válvula do booster de COG1,normalizar falha na valvula do booster de cog1,
Aguardando para realizar bloqueio da valvula do booster COG1,aguardando para realizar bloqueio da valvula do booster cog1,
Desligar Válvula do booster de COG01,desligar valvula do booster de cog01,
Troca da válvula do booster COG1,troca da valvula do booster cog1,
Apoio na atividade do booster de MG,apoio na atividade do booster de mg,
Retirar bloqueio da bomba de recirculação de alcatrão n2,retirar bloqueio da bomba de recirculacao de alcatrao n2,
Liberação elétrica segmento 8/14-2.,liberacao eletrica segmento 8/14-2.,
"Liberação 2 PE, cabos festoon dos segmentos 8/14 e 5/6.","liberacao 2 pe, cabos festoon dos segmentos 8/14 e 5/6.",
Liberação elétrica do Molde 07 da MLC#2.,liberacao eletrica do molde 07 da mlc#2.,
PROVIDENCIANDO SOBRESSALENTES DE TRUCK PARA OFICINA,providenciando sobressalentes de truck para oficina,
DEFINIÇÃO DE ATUAÇÃO NA TRINCA DA VIGA DA RE1201,definicao de atuacao na trinca da viga da re1201,
ATENDIMENTO NA TROCA DO REDUTOR DA RODA DE CAÇAMBA DA RE1202,atendimento na troca do redutor da roda de cacamba da re1202,
REALIZANDO VISITA NA RE1201 PARA FAZER RONOGRAMA MACRO DA TROCA VIGA SUSTENTAÇÃO,realizando visita na re1201 para fazer ronograma macro da troca viga sustentacao,
ACOMPANHANDO INICIO ATIVIDADE ESPELHO DA RODA DE CAÇAMBA,acompanhando inicio atividade espelho da roda de cacamba,
ACOMPANHANDO ATIVIDADE DE TROCA DA CORREIA BC211 E CHAPA DO ESPELHO DA SR205,acompanhando atividade de troca da correia bc211 e chapa do espelho da sr205,
ACOMPANHANDO TROCA DA CORREIA C5602,acompanhando troca da correia c5602,
ACOMPANHANDO ATIVIDADE DE TROCA DE ROLOS DA CORREIA C5619A,acompanhando atividade de troca de rolos da correia c5619a,
ACOMPANHANDO ATIVIDADE DE ALINHAMENTO REDUTOR DA BC211,acompanhando atividade de alinhamento redutor da bc211,
ATENDIMENTO A QUEBRA DA CALHA GHK1,atendimento a quebra da calha ghk1,
ATENDIMENTO TRINCA NA VIGA PORTA RODA DE CAÇAMBA RE1201,atendimento trinca na viga porta roda de cacamba re1201,
TROCA DA CORREIA DA LANÇA DA RE1202,troca da correia da lanca da re1202,
ATENDIMENTO AO RASGO DA CORREIA BC332A,atendimento ao rasgo da correia bc332a,
TROCA DO REDUTOR DE ACIONAMENTO DA LANÇA ST0802,troca do redutor de acionamento da lanca st0802,
ACOMPANHANDO MONTAGEM DE ANDAIME C5601/02,acompanhando montagem de andaime c5601/02,
INSPECIONANDO QUEBRA DA BASE DA C5608,inspecionando quebra da base da c5608,
TESTANDO CORREIA C5608,testando correia c5608,
acompanhamento troca das guias BC331,acompanhamento troca das guias bc331,
PRONTIDÃO-ROMPIMENTO CORREIA ALIMENTADORA RE1201,prontidao-rompimento correia alimentadora re1201,
ACOMPANHANDO AJUSTE DO ACOPLAMENTO DA LANÇA SR205,acompanhando ajuste do acoplamento da lanca sr205,
MONTAGEM ACOPLAMENTO SR205,montagem acoplamento sr205,
ACOMPANHANDO RECEBIMENTO DE CARVÃO PRESENCIAL,acompanhando recebimento de carvao presencial,
"ATENDIMENTO NA OCORRENCIA DA ST0802, ORIENTAÇÃO TÉCNICA E ACOMPANHAMENTO PARA LEVAR A MAQUINA PARA 0","atendimento na ocorrencia da st0802, orientacao tecnica e acompanhamento para levar a maquina para 0",
Interjornada entre sexta e sábado,interjornada entre sexta e sabado,
Atendimento à troca do motor do ventilador principal  da moagem 3,atendimento a troca do motor do ventilador principal  da moagem 3,
Auxiliar na calibração de balanças no carregamento do AF2,auxiliar na calibracao de balancas no carregamento do af2,
Atendimento à solicitação de liberação do espessador do AF3,atendimento a solicitacao de liberacao do espessador do af3,
Auxílio na troca de sinterizado do vaso 2 do AF2,auxilio na troca de sinterizado do vaso 2 do af2,
Atendimento à troca do motor do ventilador principal do PCI3,atendimento a troca do motor do ventilador principal do pci3,
Atendimento à troca de sinterizado no Vaso 3 do PCI1,atendimento a troca de sinterizado no vaso 3 do pci1,
Atendimento à troca de acionamento de ventilador na refrigeração do Alto Forno 3,atendimento a troca de acionamento de ventilador na refrigeracao do alto forno 3,
troca de sinterizado no pci1,troca de sinterizado no pci1,
Apoio à troca de sinterizado do vaso do Alto Forno 1 (PCI),apoio a troca de sinterizado do vaso do alto forno 1 (pci),
Garantir a entrega e cumprimento dos prazos,garantir a entrega e cumprimento dos prazos,
Quebra da corrente do TKF de grosso da Moagem 1,quebra da corrente do tkf de grosso da moagem 1,
Garantir a programação e os recursos no prazo para a semana seguinte,garantir a programacao e os recursos no prazo para a semana seguinte,
Tratamento da carteira do PPC,tratamento da carteira do ppc,
Cobrindo férias de funcionário da letra A.,cobrindo ferias de funcionario da letra a.,
Cobrindo férias funcionário letra A.,cobrindo ferias funcionario letra a.,
Cobrindo afastamento de funcionário da letra A.,cobrindo afastamento de funcionario da letra a.,
Cobrindo funcionário afastado.,cobrindo funcionario afastado.,
Reforço no time da letra C devido a ausencia de operador em férias,reforco no time da letra c devido a ausencia de operador em ferias,
Suprindo letra C devidoa ausencia do operador por ferias,suprindo letra c devidoa ausencia do operador por ferias,
RMSA - CABANA DO JACARE,rmsa - cabana do jacare,
Atividades na área operacional no setor do TCA  (Jinglerson/Rafael),atividades na area operacional no setor do tca  (jinglerson/rafael),
REFORÇO NA LETRA B DEVIDO AO AFASTAMENTO DO(A) OPERADOR(A)    (BRENA),reforco na letra b devido ao afastamento do(a) operador(a)    (brena),
Suprindo a ausência devido a ferias do operador Igor (Letra A),suprindo a ausencia devido a ferias do operador igor (letra a),
SUPRINDO AUSENCIA DO OPERADOR EM FÉRIAS (LETRA A),suprindo ausencia do operador em ferias (letra a),
SUPRINDO AUSÊNCIA DE OPERADOR NA AREA DEVIDO A ESCALA DE FÉRIAS NA LETRA A,suprindo ausencia de operador na area devido a escala de ferias na letra a,
SUPRINDO AUSENCIA DE OPERADOR DEVIDO A FERIAS DO MESMO.,suprindo ausencia de operador devido a ferias do mesmo.,
SUPRINDO AUSENCIA DE OPERADOR DEVIDO A DESLIGAMENTOS (LETRA A),suprindo ausencia de operador devido a desligamentos (letra a),
DESCARGA POR DUAS LINHAS E ATENDENDO AS AREAS DO COQUE E CARVÃO EM DEMANDAS VARIADAS NA LETRA A,descarga por duas linhas e atendendo as areas do coque e carvao em demandas variadas na letra a,
DUAS LINHAS E APOIO NA AREA DO CARVÃO E COQUE NAS DEMANDAS NA LETRA C,duas linhas e apoio na area do carvao e coque nas demandas na letra c,
SUPRINDO AUSENCIA DE OPERADOR DEVIDO A FERIAS DO MESMO DA LETRA C,suprindo ausencia de operador devido a ferias do mesmo da letra c,
APOIO NAS ROTINAS NA LETRA A,apoio nas rotinas na letra a,
SUPRINDO A AUSENCIA DEVIDO A FERIAS DO OPERADOR DA LETRA C,suprindo a ausencia devido a ferias do operador da letra c,
SUPRINDO DEMANDAS OPERACIONAIS DEVIDO A DUAS LINHAS DE DESCARGA DO CARVÃO,suprindo demandas operacionais devido a duas linhas de descarga do carvao,
RECEBIMENTO DE CARRETAS DE DESTINAÇÃO DE COQUE NA TENDA (E) SOB NOVAS DIRETRIZES E APOIO A COMPET,recebimento de carretas de destinacao de coque na tenda (e) sob novas diretrizes e apoio a compet,
SUPRINDO AUSENCIA DE OPERADOR DE FERIAS NA LETRA B,suprindo ausencia de operador de ferias na letra b,
SUPRINDO AUSENCIA DE OPERADOR NA LETR A POR MOTIVO DE FERIAS.,suprindo ausencia de operador na letr a por motivo de ferias.,
SUPRINDO AUSENCIA DE OPERADOR NA LETRA B POR MOTIVO DE FERIAS.,suprindo ausencia de operador na letra b por motivo de ferias.,
SUPRINDO AUSENCIA DE OPERADOR NA LETRA B.,suprindo ausencia de operador na letra b.,
Hora Extra - Operador afastado,hora extra - operador afastado,
Hora Extra - Letra incompleta,hora extra - letra incompleta,
Hora Extra,hora extra,
NR 33 RECICLAGEM,nr 33 reciclagem,
Hora Extra - Operador de férias,hora extra - operador de ferias,
Hora Extra Letra C - Operador de férias,hora extra letra c - operador de ferias,
Hora Extra Letra A,hora extra letra a,
Hora Extra - Letra D,hora extra - letra d,
ALAIR - REALOCAÇÃO DE CIRCUITO SALA ELÉTRICA DO LABORATÓRIO,alair - realocacao de circuito sala eletrica do laboratorio,
"ALAIR - DESARME PAINEL DO CL2, SUJEIRA NO ANEL COLETOR","alair - desarme painel do cl2, sujeira no anel coletor",
"ALAIR/MAIN/ROBSON - SOBRECARGA GAVETA C5620A, TROCA DO CONTATOR PRINCIPAL.","alair/main/robson - sobrecarga gaveta c5620a, troca do contator principal.",
