Justificativa,Justificativa_processada,Classificacao,Justificativa_classificada
"ATENDIMENTO AO BLOQUEIO, GUIA 01","atendimento ao bloqueio, guia 01",,Manutenção/Inspeção/Teste de Máquina
"ATENDIMENTO AO BLOQUEIO, DESBLOQUEIO DA LOC 01 E LIAGAÇÃO DO FREIO.","atendimento ao bloqueio, desbloqueio da loc 01 e liagacao do freio.",,Manutenção/Inspeção/Teste de Máquina
atendimento ao bloqueio,atendimento ao bloqueio,,Manutenção/Inspeção/Teste de Máquina
"loc 03 , configuração das tag, verificação do motor do compressor.","loc 03 , configuracao das tag, verificacao do motor do compressor.",,Manutenção/Inspeção/Teste de Máquina
"atendimento a MD01 , prontidao, e locomotiva 02","atendimento a md01 , prontidao, e locomotiva 02",,Não Classificado
"ATENDIMENTO LOC 02 TROCA DO DBW, SISTEMA DE FREIO DA MAQUINA.","atendimento loc 02 troca do dbw, sistema de freio da maquina.",,Manutenção/Inspeção/Teste de Máquina
"ATENDIMENTDO ,A LIGAÇÃO DO CANHAO PUVERIZADOR PARA ABASTECIMENTO DO COQUE NO FIANL DA BATERIA.","atendimentdo ,a ligacao do canhao puverizador para abastecimento do coque no fianl da bateria.",,Parada de Máquina
"troca da caixa de passagem de cabos multi via da transferencia 01,","troca da caixa de passagem de cabos multi via da transferencia 01,",,Manutenção/Inspeção/Teste de Máquina
atendimento na sonda radar da unidade 01 CDQ.,atendimento na sonda radar da unidade 01 cdq.,,Manutenção/Inspeção/Teste de Máquina
Calibração de instrumento.,calibracao de instrumento.,,Manutenção/Inspeção/Teste de Máquina
"atendimento ao atividade no bloqueio da caldeira 101, e limpesa dos instrumentos pt.","atendimento ao atividade no bloqueio da caldeira 101, e limpesa dos instrumentos pt.",,Parada de Máquina
bloqueio da ponte 02 troca do cabo.,bloqueio da ponte 02 troca do cabo.,,Manutenção/Inspeção/Teste de Máquina
"atendimento a ponte 02,no auxilio na troca do cabo.","atendimento a ponte 02,no auxilio na troca do cabo.",,Manutenção/Inspeção/Teste de Máquina
bloqueio na CC5,bloqueio na cc5,,Parada de Máquina
bloqueio da ponte 02.,bloqueio da ponte 02.,,Parada de Máquina
execução de atividades na ´ponte 2 megagem dos motores.,execucao de atividades na 'ponte 2 megagem dos motores.,,Manutenção/Inspeção/Teste de Máquina
Atendimento PCI na injeção de carvão,atendimento pci na injecao de carvao,,Manutenção/Inspeção/Teste de Máquina
Troca do ventilador da refrigeração do Alto-Forno 2,troca do ventilador da refrigeracao do alto-forno 2,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento de retorno e ajuste da FM25,acompanhamento de retorno e ajuste da fm25,,Manutenção/Inspeção/Teste de Máquina
Acompanhamento do retorno da peneira de sínter 1,acompanhamento do retorno da peneira de sinter 1,,Manutenção/Inspeção/Teste de Máquina
Mobilização de materiais do galpão almoxarifado 08,mobilizacao de materiais do galpao almoxarifado 08,,Outros Eventos Externos
Instalação de placas no galpão 08,instalacao de placas no galpao 08,,Outros Eventos Externos
Troca da junta de expansão saída do ventilador de ar de combustão 01,troca da junta de expansao saida do ventilador de ar de combustao 01,,Manutenção/Inspeção/Teste de Máquina
Troca do tambor da correia FC27,troca do tambor da correia fc27,,Manutenção/Inspeção/Teste de Máquina
Desobstrução da BDL 4 devido baixa vazão,desobstrucao da bdl 4 devido baixa vazao,,Parada de Máquina
Alinhamento da bomba 3 do tanque de água fria,alinhamento da bomba 3 do tanque de agua fria,,Manutenção/Inspeção/Teste de Máquina
Atendimento a sinergia cancelado,atendimento a sinergia cancelado,,Não Classificado
Troca e alinhamento da bomba 3 do tanque de água fria,troca e alinhamento da bomba 3 do tanque de agua fria,,Manutenção/Inspeção/Teste de Máquina
Troca do J.I.B CRANE 2,troca do j.i.b crane 2,,Manutenção/Inspeção/Teste de Máquina
Troca da bomba 3 do tanque de água fria,troca da bomba 3 do tanque de agua fria,,Manutenção/Inspeção/Teste de Máquina
Sinergia - Grande reparo do LTQ,sinergia - grande reparo do ltq,,Manutenção/Inspeção/Teste de Máquina
Desobstrução do Pugmill,desobstrucao do pugmill,,Manutenção/Inspeção/Teste de Máquina
Limpeza de rota PCI 2,limpeza de rota pci 2,,Manutenção/Inspeção/Teste de Máquina
Desmontagem JIB CRANE 2,desmontagem jib crane 2,,Manutenção/Inspeção/Teste de Máquina
Abertura de manhole na limpeza de gás AF02,abertura de manhole na limpeza de gas af02,,Manutenção/Inspeção/Teste de Máquina
APOIO OPERACIONAL MD1 LETRA A,apoio operacional md1 letra a,,Não Classificado
Encontro de segurança,encontro de seguranca,,Outros Eventos Externos
COBRINDO AFASTAMENTO FUNCIONÁRIO,cobrindo afastamento funcionario,,Substituição de Colaborador
apoio na operaçao letra C MD2,apoio na operacao letra c md2,,Parada de Máquina
COBRINDO AFASTAMENTO DE FUNCIONARIO,cobrindo afastamento de funcionario,,Substituição de Colaborador
Funcionario afastado Gustavo,funcionario afastado gustavo,,Substituição de Colaborador
TROCA DE TURNO,troca de turno,,Substituição de Colaborador
Apoio operação MD3,apoio operacao md3,,Não Classificado
SOLICITACAO DO SUPERVISOR,solicitacao do supervisor,,Não Classificado
Solicitação da supervisão,solicitacao da supervisao,,Não Classificado
solicitacao supervisao,solicitacao supervisao,,Não Classificado
Hora extra descarga navio letra( B),hora extra descarga navio letra( b),,Outros Eventos Externos
Hora extra Letra( B ) A pedido do Supervisor.,hora extra letra( b ) a pedido do supervisor.,,Não Classificado
onibus não passou no ponto da casa de corrida na saida do turnô AF01,onibus nao passou no ponto da casa de corrida na saida do turno af01,,Outros Eventos Externos
NR 33 ESPAÇO CONFINADO,nr 33 espaco confinado,,Não Classificado
ATENDIMENTO OPERACIONAL,atendimento operacional,,Não Classificado
HORA DE DESCANSO NÃO REALIZADA,hora de descanso nao realizada,,Não Classificado
RMS E WORKSHOP,rms e workshop,,Outros Eventos Externos
nr 20 - basico 1,nr 20 - basico 1,,Não Classificado
"NR 33, 1 DIA.","nr 33, 1 dia.",,Não Classificado
Devido ao consumo de HBI.,devido ao consumo de hbi.,,Não Classificado
RMS e cobrir ausencia.,rms e cobrir ausencia.,,Substituição de Colaborador
Acompanhamento de materia prima.,acompanhamento de materia prima.,,Não Classificado
atendimento a ilha do AFO01,atendimento a ilha do afo01,,Não Classificado
"robson, Troca do redutor CK 5 BIS","robson, troca do redutor ck 5 bis",,Manutenção/Inspeção/Teste de Máquina
"Robson, posicionamento redutor novo CK BIS","robson, posicionamento redutor novo ck bis",,Manutenção/Inspeção/Teste de Máquina
"Robson, Troca do redutor ck5 BIS","robson, troca do redutor ck5 bis",,Manutenção/Inspeção/Teste de Máquina
troca do redutor CK BIS,troca do redutor ck bis,,Manutenção/Inspeção/Teste de Máquina
"Supervisor alair, Troca do Tambor C12","supervisor alair, troca do tambor c12",,Manutenção/Inspeção/Teste de Máquina
falha na peneira,falha na peneira,,Parada de Máquina
Troca do excitador da peneira,troca do excitador da peneira,,Manutenção/Inspeção/Teste de Máquina
Troca dos Tambores na CK331,troca dos tambores na ck331,,Manutenção/Inspeção/Teste de Máquina
Troca do raspador da BC333,troca do raspador da bc333,,Manutenção/Inspeção/Teste de Máquina
Atendimento ao patio de carvão,atendimento ao patio de carvao,,Não Classificado
Demanda no Patio de carvão,demanda no patio de carvao,,Outros Eventos Externos
Retirada do cilindro DG5,retirada do cilindro dg5,,Manutenção/Inspeção/Teste de Máquina
Atendimento na calha da 202,atendimento na calha da 202,,Manutenção/Inspeção/Teste de Máquina
Atendimento na calha intermediaria da 202,atendimento na calha intermediaria da 202,,Manutenção/Inspeção/Teste de Máquina
troca do acoplamento CK03 BIS,troca do acoplamento ck03 bis,,Manutenção/Inspeção/Teste de Máquina
Troca da polia da peneira 5602 Patio de carvão,troca da polia da peneira 5602 patio de carvao,,Manutenção/Inspeção/Teste de Máquina
Atendimento ao prontidão,atendimento ao prontidao,,Não Classificado
Atenimento ao tripper da CK06,atenimento ao tripper da ck06,,Manutenção/Inspeção/Teste de Máquina
Atendimento ao prontidão tratamento de gas,atendimento ao prontidao tratamento de gas,,Parada de Máquina
Atendimento ao BLACKOUT,atendimento ao blackout,,Parada de Máquina
Preventiva no acionameno CK-01,preventiva no acionameno ck-01,,Manutenção/Inspeção/Teste de Máquina
Apoio a equipe do CDQ,apoio a equipe do cdq,,Substituição de Colaborador
Atendimento a CKE-2,atendimento a cke-2,,Manutenção/Inspeção/Teste de Máquina
Troca da grade GHK3,troca da grade ghk3,,Manutenção/Inspeção/Teste de Máquina
Troca do britador,troca do britador,,Manutenção/Inspeção/Teste de Máquina
"apoio , inventário de EPI","apoio , inventario de epi",,Outros Eventos Externos
inventário de estoque EPI´S,inventario de estoque epi's,,Outros Eventos Externos
Realização de bloqueio do ventilador de ar de combustão 03,realizacao de bloqueio do ventilador de ar de combustao 03,,Manutenção/Inspeção/Teste de Máquina
Troca do pirômetro no HS 02,troca do pirometro no hs 02,,Manutenção/Inspeção/Teste de Máquina
Religações elétricas do ventilador de combustão 03,religacoes eletricas do ventilador de combustao 03,,Manutenção/Inspeção/Teste de Máquina
Atendimento a Rotina,atendimento a rotina,,Não Classificado
Instalação de valvula REV,instalacao de valvula rev,,Manutenção/Inspeção/Teste de Máquina
Preparação para para do alto forno.,preparacao para para do alto forno.,,Parada de Máquina
PREVENTIVA LANÇA MOVEL,preventiva lanca movel,,Manutenção/Inspeção/Teste de Máquina
ACEARIA,acearia,,Não Classificado
CASA DE CORRIDA ALTO FORNO 1,casa de corrida alto forno 1,,Parada de Máquina
INSTALIDADE OPERACIONAL,instalidade operacional,,Não Classificado
PREVENTIVA 31PR02,preventiva 31pr02,,Manutenção/Inspeção/Teste de Máquina
ACOMPANHAMENTO E RECEBIMENTO DE RECURSOS,acompanhamento e recebimento de recursos,,Outros Eventos Externos
PRORIZAÇÃO RECURSOS CARRIAGEM E EFETIVO CARRIAGEM,prorizacao recursos carriagem e efetivo carriagem,,Não Classificado
MONTAGEM AJUSTE DO SUPORTE RADAR,montagem ajuste do suporte radar,,Manutenção/Inspeção/Teste de Máquina
troca dos rolamentos do tambor de desvio superior da correia FC27,troca dos rolamentos do tambor de desvio superior da correia fc27,,Manutenção/Inspeção/Teste de Máquina
ORGANIZAÇÃO DA AREA E EQUIPAMENTOS,organizacao da area e equipamentos,,Outros Eventos Externos
isntabilidade operascao af02,isntabilidade operascao af02,,Parada de Máquina
retorno AF03,retorno af03,,Parada de Máquina
letra B AF02,letra b af02,,Não Classificado
letra C AF03,letra c af03,,Não Classificado
AF03 LETRA B,af03 letra b,,Não Classificado
atendimento ocorrencias blockout,atendimento ocorrencias blockout,,Não Classificado
NR11 amarracao de carga,nr11 amarracao de carga,,Não Classificado
Letra C AF03,letra c af03,,Não Classificado
FORNO AF03,forno af03,,Parada de Máquina
FORNO AF02,forno af02,,Parada de Máquina
FORNO AF03 letra C,forno af03 letra c,,Parada de Máquina
NR33 - Espaço confinado aula teorica .,nr33 - espaco confinado aula teorica .,,Não Classificado
NR33 ESPACO CONFINADO,nr33 espaco confinado,,Manutenção/Inspeção/Teste de Máquina
NR18 AMARRAÇAO DE CARGA AULA TEORICA,nr18 amarracao de carga aula teorica,,Não Classificado
NR18 AMARRAÇAO DE CARGA AULA PRATICA,nr18 amarracao de carga aula pratica,,Outros Eventos Externos
NR20 modulo 2.,nr20 modulo 2.,,Não Classificado
retorno do forno  af01.,retorno do forno  af01.,,Parada de Máquina
"apoio na letra C, forno em recuperaçao.","apoio na letra c, forno em recuperacao.",,Parada de Máquina
extra na letra D( atestado medico ),extra na letra d( atestado medico ),,Substituição de Colaborador
extra na letra B no lugar do funcionario que se encontra de ferias,extra na letra b no lugar do funcionario que se encontra de ferias,,Substituição de Colaborador
"Main, preparação de carvão, cr2 solda.","main, preparacao de carvao, cr2 solda.",,Manutenção/Inspeção/Teste de Máquina
"Alair, troca de suporte de esticamento C5613.","alair, troca de suporte de esticamento c5613.",,Manutenção/Inspeção/Teste de Máquina
"Robson, Troca do acoplamento da ck10","robson, troca do acoplamento da ck10",,Manutenção/Inspeção/Teste de Máquina
"acoplamento e acionamento da correia da lança e elemento elastico, roda de caçamba, Jhonatan.","acoplamento e acionamento da correia da lanca e elemento elastico, roda de cacamba, jhonatan.",,Manutenção/Inspeção/Teste de Máquina
"Alair, atuação no rotor do britador para retirada.","alair, atuacao no rotor do britador para retirada.",,Manutenção/Inspeção/Teste de Máquina
"Alair, retirada do rotor para oficina.","alair, retirada do rotor para oficina.",,Manutenção/Inspeção/Teste de Máquina
"alair, colocando o rolo da 5619A, soldando uma barreira fisica.","alair, colocando o rolo da 5619a, soldando uma barreira fisica.",,Manutenção/Inspeção/Teste de Máquina
"Main, colocar o rotor da CR3, Britador.","main, colocar o rotor da cr3, britador.",,Manutenção/Inspeção/Teste de Máquina
"Alair, retirada do rotor cr3","alair, retirada do rotor cr3",,Manutenção/Inspeção/Teste de Máquina
"Main, coluna da area do gás.","main, coluna da area do gas.",,Não Classificado
"Jhonatan, reparo na coluna e troca de valvula no gás.","jhonatan, reparo na coluna e troca de valvula no gas.",,Manutenção/Inspeção/Teste de Máquina
"renato, atendimento na area 5, fechando valvula.","renato, atendimento na area 5, fechando valvula.",,Manutenção/Inspeção/Teste de Máquina
"Reanato, troca de valvula da turbulação de agua do mar.","reanato, troca de valvula da turbulacao de agua do mar.",,Manutenção/Inspeção/Teste de Máquina
"Alair, soldando suporte da correia c5617 a .","alair, soldando suporte da correia c5617 a .",,Manutenção/Inspeção/Teste de Máquina
"Robson, Ajuste dos mancais ck 203/204","robson, ajuste dos mancais ck 203/204",,Manutenção/Inspeção/Teste de Máquina
"Alair, soldando suporte da correia 5613.","alair, soldando suporte da correia 5613.",,Manutenção/Inspeção/Teste de Máquina
Renato. Soldando uma meia cana na tubulação da agua do mar area 17.,renato. soldando uma meia cana na tubulacao da agua do mar area 17.,,Manutenção/Inspeção/Teste de Máquina
"Troca motor do exaustor c, renato","troca motor do exaustor c, renato",,Manutenção/Inspeção/Teste de Máquina
"Troca da bomba JP07, Renato.","troca da bomba jp07, renato.",,Manutenção/Inspeção/Teste de Máquina
1701 A/B interligação coocando raquete. Renato.,1701 a/b interligacao coocando raquete. renato.,,Manutenção/Inspeção/Teste de Máquina
Balança da br k04.,balanca da br k04.,,Parada de Máquina
"Area 17 atuacao no trocador de calor, corretiva.","area 17 atuacao no trocador de calor, corretiva.",,Manutenção/Inspeção/Teste de Máquina
